page,section,provider,source_type,name,address,neighborhood,surface_m2,ocr_confidence
4,3,REMACOOP,Platabanda,Sin nombre,Av.Ejercito del norte/Colondesde Fcode Aguirrehasta Americo Vespucio,,12232,0.993
4,3,REMACOOP,Platabanda,Sin nombre,Alfredo Guzman-Caminodel Peruentre Crisostomoy Belgrano.,,9835.3,0.988
4,3,REMACOOP,Platabanda,Sin nombre,Juanbjusto/avellaneda/Saenzpenadefcode Aguirre hasta roca,,8695,0.991
4,3,REMACOOP,Platabanda,Sin nombre,Av.Martinberho desde avjuanbjusto hasta coronel Suarez,,2357.8,0.99
4,3,REMACOOP,Platabanda,Sin nombre,Democraciaentre Jujuyycircunvalacion,,2840.3,0.989
4,3,REMACOOP,Platabanda,Sin nombre,Av-Mexicodesde Republicade Libanohasta Av Ejercitodel Norte,,3450.4,0.983
4,3,REMACOOP,Platabanda,Sin nombre,Av.Papa Franciscodesde Av.Benjamin Araozhasta Rotondade San Cayetano,,7212.4,0.983
4,3,REMACOOP,Platabanda,Sin nombre,Av.Estadode Israele Italiahasta Rotondadecalle Ecuador(incluida),,1439.1,0.986
4,3,REMACOOP,Platabanda,Sin nombre,Av.Santiagodel Esterodesde Dr.Alfredo Amenabarhasta Esteban Echeverria,,2331.6,0.987
4,3,REMACOOP,Parque,Mercedes Sosa,Av.Benjamin Araozy Av.Papa Francisco COOP.PROFETAISAIAS,,25005,0.995
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Pedro Miguel Araozentre Papa Franciscoy Silvano Bores,,612.71,0.985
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Jujuyentre Platay Democracia,,1547.4,0.989
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.coronel Suarezdesde Martinberho hasta benjamin Araoz,,2410,0.996
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.fcode Aguirre desde juanb.justo hasta camino del peru,,7185,0.984
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Brigidoterandesde24deseptiembrehasta avroca,,3686.2,0.986
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.Americo Vespucio desde av Alem hasta canalsur,,2670.7,0.991
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Joseing.Entrepapafranciscoybrigidoteran,,304.71,0.991
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Pedromiguelaraoz entre papafranciscoysaenzpea,,1043.2,0.988
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.Coronel Zelaya desde Canalsurhasta Av Manantial,,736.39,0.986
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.Rocadesde Plazoleta Dorregohasta Av.Alem,,2052.3,0.985
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.Siriadesde Sarmientohasta Acceso Norte,,2557.4,0.986
4,3A,PROFETA ISAIAS,Platabanda,Sin nombre,Av.Colondesde Americayolleroshasta Av Manantial,,725.54,0.991
4,3A,PROFETA ISAIAS,Vera Autopista,Sin nombre,351-352-356-358-357-353-354-355-360-361-363-364-365-366-359 CONSTRUTUC,,106460,0.996
4,4,CONSTRUTUC,Acceso,Norte,ACCESONORTE P.U.97-81-82-83-84-145-35-85-86-74-146.,,84416,0.995
4,4,CONSTRUTUC,Acceso,Alderetes,ACCESOESTEALDERETE P.U.96-51-50-48-34-33-463-462-45-46-47-95-71-94,,88717,0.988
4,4A,CONSTRUTUC,Parque,Provincial,Av.Rocaentre Ayacuchoy9de Julio,,52764,0.989
4,4A,CONSTRUTUC,Vera Autopista,Sin nombre,Av.Circunvalaci6n N*277-276-278-274-279-280 PROYECTARFUTURO,,51006,0.99
4,5,PROYECTAR FUTURO,Acceso,San Cayetano,SECTORES36-42-65-72-73-88-89-90-91-92-369-388/Noincluyerotondas292y516,,197393,0.994
4,5A,PROYECTAR FUTURO,Vera Autopista,Sin nombre,SECTORES368-370-498-381-382-383-384-385-386-387-379-380-378-375 COOPERATIVA13DEENERO,,75467,0.994
4,6,13 DE ENERO,Plazoleta,Cesar Cipolletti,Mejico4300,,2333,0.991
5,6,13 DE ENERO,Plaza,S/N,Mario Bravoy71NE P.U.271,130Viviendas,4670,0.986
5,6,13 DE ENERO,Plaza,S/N,71NEentre Coronel Suarezy Lola Mora P.U.272,130Viviendas,9774,0.985
5,6,13 DE ENERO,Plaza,S/N,Mario Bravoentre73NEy28/23NE P.U.273,130Viviendas,2640,0.982
5,6,13 DE ENERO,Plazoleta,Maria Auxiliadora,Don Orioney Diagonal90(3triangulos).VERMAPA,,4000,0.981
5,6,13 DE ENERO,Plaza,Barrancasdel Sali B,C.38NORESTEYC.NOROESTE,B*Barrancasdel Sali,7081,0.98
5,6,13 DE ENERO,Platabanda,Veradecanal,CANALSUR-TRAMO5DECOLONADIAGONAL-TRAMO6DEDIAGONALACOLON,,29468,0.993
5,6,13 DE ENERO,Boulevard,BSan Martin,Av.Povina（Ruta provincial301-Caminode Sirga),,3120,0.985
5,6,13 DE ENERO,Plaza,Almirante Brown,Pje Vieytesy Miguel Lilo1400,Victoria,7850,0.984
5,6,13 DE ENERO,Plazoleta,Int.Alfredo Guzman,"Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）",Parque Centenario,9056,0.976
5,6,13 DE ENERO,Plazoleta,Int.Carlos Maria Torres,"Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）",Parque Centenario,2287,0.965
5,6,13 DE ENERO,Boulevard,Brasil,Pje.Brasil entre Av.J.B.Justoy Maipu,,12392,0.988
5,6,13 DE ENERO,Platabanda,Caminode Sirga,SECCIONES435-436-483-484,,22081,0.994
5,6,13 DE ENERO,Terraplen,Panamay Jose Hernandez,SECCIONES308-309-310,,36786,0.99
5,6,13 DE ENERO,Plaza,C.de Fragata Pedro E.Giachino,"Av.Juan B.Justo2350,esquina Pje.Roberto Berho",,5391,0.974
5,6,13 DE ENERO,Plaza,Gral.Lorenzo Vinter,"Espana2900,entre J.L.Nouguesy Pje.Acha",Ampliacion Jardin,1620,0.979
5,6,13 DE ENERO,Plazoleta,Mons.Miguel de Andrea,Hernando de Magallanes2500,SEOCI,6200,0.981
5,6,13 DE ENERO,Plazoleta,Paseo Egeo,Inca Garcilasoy Buenos Aires,Egeo,1825,0.989
5,6,13 DE ENERO,Rotonda,San Miguel Arcangel,Av.Gobernadordel Campoy Circunvalacion,B°Barrancasdel Sali,650,0.976
5,6,13 DE ENERO,Plazoleta,Gral.Manuel Belgrano,Av.Pedro Miguel Araozal500,B*20de junio,4854,0.956
5,6,13 DE ENERO,Plazoleta,Dr.F.lrrazabal,Mendoza4450,Alperovich,712,0.984
5,6,13 DE ENERO,Plaza,S/N,Lidoro Quinteros2500esquina Lopez Maian. PU482,314Viviendas,4519,0.989
5,6,13 DE ENERO,Plazoleta,Caseros,"Colombia00,esquina Catamarca",Villa Urquiza,2240,0.945
5,6,13 DE ENERO,Plazoleta,Santisima Trinidad,"Alsina300,entre Congresoy Las Heras COOPERATIVATRABAJOSOFICIO",Villa Alem,3513,0.961
5,8,TRABAJOS OFICIO,Plazoleta,Wilde,"Suipacha2300,esquinalsabella Catolica",Villa Urquiza,519,0.945
5,8,TRABAJOS OFICIO,Parquizacion,Dr.Angel Pisarello,Mejicoy Munecas,Los Pinosll,373,0.969
5,8,TRABAJOS OFICIO,Parque,Monumentoal Alfabeto,Diagonal Lisandro del a Torrey Ramirezde Velazco,Los Pinos,500,0.992
5,8,TRABAJOS OFICIO,Plazoleta,Tte.B.Matienzo,Diaz Velez800y Luis MDrago50,Padre Monti,611,0.98
5,8,TRABAJOS OFICIO,Plaza,Sin nombre,Peri3800,Ampliacion Las Americas,8200,0.979
5,8,TRABAJOS OFICIO,Boulevard,Sin nombre,Mexico YDIAG90LADONORESTE,Congreso,3000,0.987
5,8,TRABAJOS OFICIO,Plazoleta,Aramburu,Mendoza3300,San Martinde Porres,2900,0.992
5,8,TRABAJOS OFICIO,Plaza,Dela Libertad,Carlos Maria Torresentre Chacabucoy Bs Aires4400,Independencia,7831,0.985
5,8,TRABAJOS OFICIO,Plazoleta,Eva Peron,Av.Juan B.Justo1000,,3857,0.989
5,8,TRABAJOS OFICIO,Plazoleta,Miguelde Azcuenaga,Alsina4600 COOPERATIVASANTAQUIARA,San Martin,3875,0.991
5,9,SANTAQUIARA,Plaza,ing.Agr.Jose Ploper,Jose M.Estrada4300,Congreso,10502,0.985
5,9,SANTAQUIARA,Plaza,Diegode Villarroel,Diegode Villarroely Jose Hernandez,Obispo Piedrabuena,1530,0.992
5,9,SANTAQUIARA,Plaza,Sin nombre,Estados Unidos1500y Calle Costanera Norte,BCostanera(2 de abril),6569,0.907
5,9,SANTAQUIARA,Plaza,Eva Peron,Espana2700y Azcuenaga,Jardin,7800,0.988
5,9,SANTAQUIARA,Plazoleta,Dr.Pedro Ruiz Huidobro,Viamonte950-Espanay Av.Estado del srael,Ampliacion Jardin,2854,0.979
5,9,SANTAQUIARA,Plazoleta,Nicolas Levalle(Petete),Av.Matede Luna3050,San Martinde Porres,1500,0.984
5,9,SANTAQUIARA,Plazoleta,S/N,General Paz3100. PU:4,,2478,0.988
5,9,SANTAQUIARA,Plaza,S/N,Don Bosco3200. PU:8,,5614,0.979
6,9,SANTAQUIARA,Plaza,Alameda del a Victoria,B°Ex Aeropuerto. PU:58,,10848,0.976
6,9,SANTAQUIARA,Espacio Verde,Vera Autopista,PU:288 COOPERATIVAELINDIO,,14297,0.988
6,10,EL INDIO,Plazoleta,Jose Padilla,Padre Roque Correa1600,Zenon Santillan,2098,0.976
6,10,EL INDIO,Plazoleta,Ntra.Sra.del Valle,Italia4300,Oeste I,404,0.968
6,10,EL INDIO,Plazoleta,Salvador Alberti,"San Lorenzo3900,esquina Pablo Rojas Paz",Ojode Agua,3900,0.985
6,10,EL INDIO,Plazoleta,Miguel Lillo,Av.Alem250,Ciuda del a,1800,0.988
6,10,EL INDIO,Plazoleta,Garcia Lorca,Marco Avellaneda1900y Mejico,Villa Urquiza,2000,0.989
6,10,EL INDIO,Plazoleta,Democracia,Ecuador2900,Casino,2000,0.995
6,10,EL INDIO,Plaza,BBlasco Il(CGT),Buenos Aires4000,Blascoll,9910,0.966
