source_key,name,source_type,address,neighborhood,section_code,query,normalized_address,latitude,longitude,accepted,confidence,score,reason,geocoding_source
"pdf-2026-06-30-069","Sin nombre","Platabanda","Av.Colondesde Americayolleroshasta Av Manantial","","3A","Avenida Colondesde Americayolleroshasta Avenida Manantial, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-070","Sin nombre","Vera Autopista","351-352-356-358-357-353-354-355-360-361-363-364-365-366-359 CONSTRUTUC","","3A","351 352 356 358 357 353 354 355 360 361 363 364 365 366 359 CONSTRUTUC, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-071","Norte","Acceso","ACCESONORTE P.U.97-81-82-83-84-145-35-85-86-74-146.","","4","Norte, San Miguel de Tucuman, Tucuman, Argentina","Campo Norte, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","3.50","coincidencia_aproximada",""
"pdf-2026-06-30-072","Alderetes","Acceso","ACCESOESTEALDERETE P.U.96-51-50-48-34-33-463-462-45-46-47-95-71-94","","4","ACCESOESTEALDERETE, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-073","Provincial","Parque","Av.Rocaentre Ayacuchoy9de Julio","","4A","Provincial, San Miguel de Tucuman, Tucuman, Argentina","Museo Provincial de Bellas Artes “Timoteo Navarro”, 44, 9 de Julio de 1816, Centro, San Miguel de Tucumán, Departamento Capital, Tucumán, 4000, Argentina","","","false","revisar","3.50","coincidencia_aproximada",""
"pdf-2026-06-30-074","Sin nombre","Vera Autopista","Av.Circunvalaci6n N*277-276-278-274-279-280 PROYECTARFUTURO","","4A","Avenida Circunvalaci 6 n N*277 276 278 274 279 280 PROYECTARFUTURO, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-075","San Cayetano","Acceso","SECTORES36-42-65-72-73-88-89-90-91-92-369-388/Noincluyerotondas292y516","","5","San Cayetano, San Miguel de Tucuman, Tucuman, Argentina","San Cayetano, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","coincidencia_aproximada",""
"pdf-2026-06-30-076","Sin nombre","Vera Autopista","SECTORES368-370-498-381-382-383-384-385-386-387-379-380-378-375 COOPERATIVA13DEENERO","","5A","SECTORES 368 370 498 381 382 383 384 385 386 387 379 380 378 375, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-077","Cesar Cipolletti","Plazoleta","Mejico4300","","6","Mejico 4300, San Miguel de Tucuman, Tucuman, Argentina","México, Los Andes, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-078","S/N","Plaza","Mario Bravoy71NE P.U.271","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-079","S/N","Plaza","71NEentre Coronel Suarezy Lola Mora P.U.272","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-080","S/N","Plaza","Mario Bravoentre73NEy28/23NE P.U.273","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-081","Maria Auxiliadora","Plazoleta","Don Orioney Diagonal90(3triangulos).VERMAPA","","6","Maria Auxiliadora, San Miguel de Tucuman, Tucuman, Argentina","Pasaje Maria Auxiliadora, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8272819","-65.2192438","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-082","Barrancasdel Sali B","Plaza","C.38NORESTEYC.NOROESTE","B*Barrancasdel Sali","6","C.38 NORESTEYC.NOROESTE, B*Barrancasdel Sali, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-083","Veradecanal","Platabanda","CANALSUR-TRAMO5DECOLONADIAGONAL-TRAMO6DEDIAGONALACOLON","","6","CANALSUR, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-084","BSan Martin","Boulevard","Av.Povina（Ruta provincial301-Caminode Sirga)","","6","Avenida Povina（Ruta provincial 301 Caminode Sirga, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-085","Almirante Brown","Plaza","Pje Vieytesy Miguel Lilo1400","Victoria","6","Pasaje Vieytes y Miguel Lilo 1400, Victoria, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-086","Int.Alfredo Guzman","Plazoleta","Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）","Parque Centenario","6","Juramento de la Bandera 1200,esquina Mario Bravo（son 2 endiagonal）, Parque Centenario, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-087","Int.Carlos Maria Torres","Plazoleta","Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）","Parque Centenario","6","Juramento de la Bandera 1200,esquina Mario Bravo（son 2 endiagonal）, Parque Centenario, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-088","Brasil","Boulevard","Pje.Brasil entre Av.J.B.Justoy Maipu","","6","Brasil, San Miguel de Tucuman, Tucuman, Argentina","Brasil, Villa 9 de Julio, Villa 9 de julio, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8083718","-65.1991474","true","media","3.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-089","Caminode Sirga","Platabanda","SECCIONES435-436-483-484","","6","SECCIONES 435 436 483 484, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-090","Panamay Jose Hernandez","Terraplen","SECCIONES308-309-310","","6","SECCIONES 308 309 310, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-091","C.de Fragata Pedro E.Giachino","Plaza","Av.Juan B.Justo2350,esquina Pje.Roberto Berho","","6","Avenida Juan B.Justo 2350,esquina Pasaje Roberto Berho, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-092","Gral.Lorenzo Vinter","Plaza","Espana2900,entre J.L.Nouguesy Pje.Acha","Ampliacion Jardin","6","Espana 2900,entre J.L.Nougues y Pasaje Acha, Ampliacion Jardin, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-093","Mons.Miguel de Andrea","Plazoleta","Hernando de Magallanes2500","SEOCI","6","Hernando de Magallanes 2500, SEOCI, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-094","Paseo Egeo","Plazoleta","Inca Garcilasoy Buenos Aires","Egeo","6","Inca Garcilaso y Buenos Aires","INCA GARCILAZO (ESQUINA BUENOS AIRES), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.856541196","-65.212456103","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-095","San Miguel Arcangel","Rotonda","Av.Gobernadordel Campoy Circunvalacion","B°Barrancasdel Sali","6","Avenida Gobernadordel Campo y Circunvalacion, B°Barrancasdel Sali, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-096","Gral.Manuel Belgrano","Plazoleta","Av.Pedro Miguel Araozal500","B*20de junio","6","Avenida Pedro Miguel Araozal 500, B*20de junio, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-097","Dr.F.lrrazabal","Plazoleta","Mendoza4450","Alperovich","6","Mendoza 4450, San Miguel de Tucuman, Tucuman, Argentina","Mendoza, Floresta, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-098","S/N","Plaza","Lidoro Quinteros2500esquina Lopez Maian. PU482","314Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-099","Caseros","Plazoleta","Colombia00,esquina Catamarca","Villa Urquiza","6","Colombia 00,esquina Catamarca, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-100","Santisima Trinidad","Plazoleta","Alsina300,entre Congresoy Las Heras COOPERATIVATRABAJOSOFICIO","Villa Alem","6","Alsina 300,entre Congreso y Las Heras, Villa Alem, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-101","Wilde","Plazoleta","Suipacha2300,esquinalsabella Catolica","Villa Urquiza","8","Suipacha 2300,esquinalsabella Catolica, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-102","Dr.Angel Pisarello","Parquizacion","Mejicoy Munecas","Los Pinosll","8","Mejico y Munecas","MEJICO (ESQUINA ILDEFONSO DE LAS MUNECAS), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.803409278","-65.199751285","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
